seed,split,model_name,device_used,cuda_device_name,alpha,gamma,k,bandwidth_scale,shrink,mean_3d_error_mm,median_3d_error_mm,p90_3d_error_mm,p95_3d_error_mm,max_3d_error_mm,pass_2mm_rate,pass_2p5mm_rate
3,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7445054948133033,0.5345355692725302,1.4466642481709509,1.9910832030177728,10.012164923334524,0.9493333333333334,0.976
3,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7096840666066628,0.5024777412960526,1.4047541024432437,1.9665760366389602,6.287956827302188,0.956,0.9746666666666667
4,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0836165833910143,0.8572891445137624,1.9754763264103976,2.5228617882727145,10.493233863177954,0.9037142857142857,0.948
4,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7287691051502425,0.5301950168302039,1.3646386458917306,1.8653395847557912,7.751854475505629,0.956,0.972
4,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6984142762306343,0.506863314372259,1.35960713713914,1.7686682784763794,7.188834947273441,0.9626666666666667,0.9733333333333334
5,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0784866914521667,0.8615392193264317,1.9402369871756855,2.544389519524982,9.723521980337544,0.9065714285714286,0.9468571428571428
5,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7740252610007503,0.547181999020326,1.509387129083991,2.091201776429083,7.117650021499903,0.944,0.96
5,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6965806367311643,0.5176576731576676,1.3336761009504,1.8227388859371798,7.282707842828188,0.9626666666666667,0.9826666666666667
6,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0851221176478845,0.8491848137495106,1.9929693725748108,2.5875797433892744,9.643740242018469,0.9008571428571429,0.9454285714285714
6,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6799117309229022,0.5223081008437553,1.2233973631384345,1.663495778624736,9.674312559925127,0.968,0.984
6,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7258312440649496,0.5073571533990928,1.447731964760022,1.8280353084451313,8.976680330511591,0.96,0.976
7,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0855610246439207,0.86079108957128,2.008160264474772,2.566542698120981,9.135656081319715,0.8994285714285715,0.944
7,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.696946172628033,0.5275714380286542,1.2975828874853523,1.616550592097429,10.258930538114758,0.9653333333333334,0.976
7,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6762598860817152,0.5195441013978652,1.3303096680968576,1.648869797759648,5.57235698187152,0.9706666666666667,0.984
8,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.094378818082574,0.8647731635604415,1.9772068349843532,2.5995063721247664,10.188282565324762,0.9022857142857142,0.9428571428571428
8,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6639331415599745,0.48879213730980015,1.2346908039590498,1.675967158550949,7.2289015368950835,0.9653333333333334,0.9746666666666667
8,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7142314294836922,0.5142769822771254,1.362590575476225,1.9789053319998955,7.357604004546395,0.9506666666666667,0.9706666666666667
9,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0734116863185548,0.8451733915421997,1.9632330873364943,2.518863168276356,8.579868469787833,0.9045714285714286,0.9494285714285714
9,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7363006222912163,0.5329707062989197,1.418406506882677,1.851835348296271,6.3295502921668705,0.956,0.976
9,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7289158473603236,0.5216690960396089,1.3987117936847504,1.7568398152885525,10.658519247933535,0.964,0.9773333333333334
10,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.076536292075157,0.8533594659161836,1.9463535944753265,2.518101083644349,10.87004357359354,0.9065714285714286,0.9497142857142857
10,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7504463864574276,0.5055569154850967,1.4585497658730247,2.075304186082901,9.953450605272826,0.9453333333333334,0.9693333333333334
10,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7317390113086368,0.516079197921498,1.3774770478606182,2.045277678837278,6.028451587225328,0.9453333333333334,0.964
11,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0769441581282309,0.8529891946973882,1.9239659653579555,2.5596616389317783,10.399374875495752,0.9071428571428571,0.9482857142857143
11,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7460840764579263,0.4943838816596029,1.4502078186008265,1.9065424599776408,10.074455368541184,0.952,0.9733333333333334
11,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.6854281599550638,0.5233938019806521,1.388152148092955,1.7589404353399103,5.834729927133742,0.9666666666666667,0.9853333333333333
12,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0845299208591777,0.8656958353809334,1.9894074455297497,2.4841347345872724,9.804105804515787,0.9011428571428571,0.9505714285714286
12,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7104882537049592,0.49532842865270665,1.3925719670953034,1.840958160304411,8.681160117941799,0.9573333333333334,0.9706666666666667
12,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.685127201179857,0.4851741554394541,1.2794360302917396,1.818909341554028,10.304456836029175,0.9586666666666667,0.9706666666666667
13,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.0785369260541078,0.8472762447086994,1.936967845705119,2.570589110702709,9.776353994311899,0.9071428571428571,0.9451428571428572
13,valid,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.65093740547817,0.515585496061804,1.2801570079325764,1.63471014550992,5.6209550552561565,0.9786666666666667,0.988
13,test,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,0.7352270946860382,0.5172577040504266,1.4415296161590638,1.968466920520728,8.293509096678282,0.952,0.9706666666666667
14,train,density_aware_local_krr,cuda,NVIDIA GeForce RTX 2070 SUPER,0.003,0.1,20,0.75,1.0,1.093303609016264,0.8601556523763936,2.029855029050015,2.653876300424833,9.847477110797291,0.898,0.9417142857142857
